fid,name,peddeaths_2020,cycdeaths_2020
16,Ladakh,,
43,Arunachal Pradesh,2,0
535,Sikkim,5,0
538,West Bengal,2526,391
541,Assam,618,166
695,Uttarakhand,147,33
1015,Nagaland,11,2
1016,Manipur,26,5
1017,Mizoram,5,0
1224,Tripura,51,9
1226,Meghalaya,43,2
1610,Punjab,453,237
1611,Rajasthan,1066,44
1613,Gujarat,1199,87
1626,Himachal Pradesh,145,6
1639,Jammu and Kashmir,101,12
1642,Bihar,2649,339
1645,Uttar Pradesh,1674,1123
1913,Andhra Pradesh,1272,137
2179,Odisha,632,183
2237,Dadra and Nagar Haveli and Daman and Diu,18,3
2238,Maharashtra,2214,172
2239,Goa,29,2
2240,Karnataka,1592,73
2241,Kerala,738,80
2242,Puducherry,47,3
2243,Tamil Nadu,1540,431
2561,Lakshadweep,0,0
2585,Andaman and Nicobar,3,1
3272,Jharkhand,267,123
3273,Delhi,505,48
3274,Chandigarh,12,10
3275,Madhya Pradesh,1512,154
4286,Chhattisgarh,575,137
4287,Haryana,658,91
4288,Telangana,1148,63
